count,ax,ay,az,gx,gy,gz
628,944,-352,18736,-803,690,-94
629,800,-360,18520,-835,730,-88
630,848,-372,18732,-852,691,-127
631,988,-348,18748,-806,714,-155
632,856,-432,18824,-771,727,-163
633,868,-376,18572,-789,672,-137
634,864,-452,18684,-803,634,-91
635,932,-356,18640,-780,615,-70
636,784,-404,18692,-798,623,-103
637,992,-352,18700,-800,642,-109
638,864,-504,18684,-809,633,-76
639,1000,-452,18788,-851,643,-97
640,896,-348,18900,-810,690,-116
641,784,-312,18672,-812,671,-101
642,748,-340,18568,-783,669,-95
643,820,-460,18616,-788,671,-97
644,860,-456,18780,-809,690,-106
645,812,-460,18632,-835,697,-104
646,800,-440,18660,-809,723,-97
647,744,-408,18712,-798,716,-106
648,784,-288,18684,-803,722,-83
649,844,-320,18708,-796,735,-109
650,788,-404,18584,-791,787,-106
651,860,-472,18704,-790,799,-82
652,820,-500,18844,-788,815,-117
653,840,-456,18720,-826,862,-78
654,764,-312,18752,-808,888,-87
655,680,-388,18848,-792,924,-79
656,776,-312,18816,-825,986,-85
657,668,-480,18668,-813,1006,-94
658,652,-392,18816,-843,1075,-86
659,724,-460,18628,-820,1140,-98
660,808,-468,18600,-824,1180,-90
661,724,-304,18716,-823,1266,-87
662,584,-356,18748,-804,1333,-104
663,608,-352,18836,-794,1370,-84
664,620,-448,18752,-801,1443,-84
665,676,-436,18680,-839,1496,-94
666,612,-448,18624,-839,1565,-106
667,564,-380,18704,-810,1610,-99
668,448,-404,18672,-790,1684,-119
669,388,-256,18788,-824,1743,-111
670,420,-436,18600,-788,1772,-101
671,392,-300,18656,-815,1815,-121
672,108,-296,18700,-768,1971,-221
673,508,-348,18760,-811,1910,-180
674,340,-332,18564,-792,1903,-70
675,264,-388,18860,-828,2023,-17
676,156,-484,18708,-820,1969,-103
677,244,-480,18704,-787,2091,-109
678,56,-296,18760,-768,2113,-65
679,144,-420,18632,-798,2140,-24
680,108,-356,18804,-836,2209,-105
681,20,-468,18724,-800,2280,-93
682,28,-360,18644,-788,2312,-70
683,-12,-404,18648,-780,2388,-64
684,-76,-324,18760,-800,2460,-86
685,-64,-416,18724,-778,2513,-102
686,-164,-336,18708,-789,2556,-77
687,-300,-260,18648,-780,2607,-79
